name,age,categories,location,story_about,job,education
June,", 39","[{'heightv2': '178 cm'}, {'exercisev2': 'Active'}, {'starSignv2': 'Capricorn'}, {'educationv2': 'In college'}, {'drinkingv2': 'Rarely'}, {'smokingv2': 'Socially'}, {'genderv2': 'Man'}, {'intentionsv2': 'Something casual'}, {'familyPlansv2': 'Don’t want'}, {'religionv2': 'Other'}, {'Politicsv2': 'Moderate'}]",Barcelona,"28 May-4 June 2024 in Barcelona 🇪🇸
Looking for friends, hangout, casual chat. 
Language exchange. 
ENTJ",,
Agus,", 25","[{'heightv2': '191 cm'}, {'drinkingv2': 'Socially'}, {'smokingv2': 'Never'}, {'genderv2': 'Man'}, {'intentionsv2': 'Something casual'}, {'heightv2': '178 cm'}, {'exercisev2': 'Active'}, {'starSignv2': 'Capricorn'}, {'educationv2': 'In college'}, {'drinkingv2': 'Rarely'}, {'smokingv2': 'Socially'}, {'genderv2': 'Man'}, {'intentionsv2': 'Something casual'}, {'familyPlansv2': 'Don’t want'}, {'religionv2': 'Other'}, {'Politicsv2': 'Moderate'}]",Barcelona,ver la peli correcta,,
